nct_id,study_title,study_status,conditions,interventions,sponsor,phases,Locations,start_date,completion_date
NCT05099341,DEPLIPIDO Study: Functional and Lipidomic Analysis of Plasma HDL in Patients With Depression Compared to Controls,RECRUITING,Depression,OTHER: HDRS-17 depression scale|BIOLOGICAL: Blood sampling,Centre Hospitalier Universitaire Dijon,,"Chu Dijon Bourgogne, Dijon, 21000, France",2021-10-01,2027-10
NCT00018902,Treatment of SSRI-Resistant Depression In Adolescents (TORDIA),COMPLETED,Depression,DRUG: Fluoxetine|DRUG: Venlafaxine|BEHAVIORAL: Cognitive Behavioral Therapy (CBT)|DRUG: Citalopram,University of Pittsburgh,PHASE2|PHASE3,"University of California at Los Angeles, Los Angeles, California, 90095-6967, United States|Kaiser Permanente Center for Health Research, Portland, Oregon, 97227-1098, United States|Western Psychiatric Institute and Clinic of University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, 15213, United States|Brown University, Providence, Rhode Island, 02906, United States|University of Texas - Southwestern Medical Center, Dallas, Texas, 75390-8589, United States|University of Texas Medical Branch, Galveston, Texas, 77555-0188, United States",2001-01,2007-03
NCT04634903,"Testing Scalable, Single-Session Interventions for Adolescent Depression in the Context of COVID-19",COMPLETED,Depression,BEHAVIORAL: Supportive Therapy SSI|BEHAVIORAL: Behavioral Activation SSI|BEHAVIORAL: Growth Mindset SSI,Stony Brook University,,"Stony Brook University, Stony Brook, New York, 11790, United States",2020-11-19,2021-03-15
NCT00844948,Vocal Acoustic Biomarkers in Depression,COMPLETED,Depression,,"Center for Psychological Research, Madison, WI",,"South Cove Community Health, Boston, Massachusetts, 02111, United States|Massachusetts General Hospital Depression Clinical and Research Program, Boston, Massachusetts, 02114, United States",2008-10,2012-04
NCT03421808,EEG Synchronized TMS Trial for Depression,COMPLETED,Depression,DEVICE: Transcranial Magnetic Stimulation (TMS),Medical University of South Carolina,PHASE2|PHASE3,"Medical University of South Carolina Brain Stimulation Division, Charleston, South Carolina, 29425, United States",2018-11-30,2024-01-15
NCT02072187,Adjunctive Vitamin D in the Treatment of Non-remitted Depression,TERMINATED,Depression,DIETARY_SUPPLEMENT: Active|DIETARY_SUPPLEMENT: Placebo,START Clinic for Mood and Anxiety Disorders,PHASE3,"START Clinic for Mood and Anxiety Disorders, Toronto, Ontario, M4W 2N4, Canada",2013-12,2017-05
NCT06100302,Study on the Mechanism of Immune Inflammation in Cognitive Impairment of Depression,UNKNOWN,Depression,OTHER: no-intervention,First Affiliated Hospital Xi'an Jiaotong University,,"277 Yanta West Road, Xi'an, Yanta, 710061, China",2022-07-01,2025-02-01
NCT05449561,Beyond Efficacy- Eliciting Preference for Face-to-face and Internet-based Psychotherapy Among People with Depression,COMPLETED,Depression,,Chinese University of Hong Kong,,"Department of Psychology, Hong Kong, Hong Kong",2022-07-26,2023-07-26
NCT02448433,Phototherapy in Young People With Depression,UNKNOWN,Depression,DEVICE: Phototherapy light-emitting glasses,University of Ottawa,,"Brain and Mind Research Insitute, The University of Sydney, Camperdown, New South Wales, 2050, Australia|Sleep and Depression Research Units, Institute of Mental Health Research, University of Ottawa, Ottawa, Ontario, K1Z 7K4, Canada",2015-04,
NCT01098318,Rhodiola Rosea Therapy of Major Depressive Disorder,COMPLETED,Depression,DIETARY_SUPPLEMENT: Herbal extract|DRUG: Sertraline|OTHER: Lactose monohydrate,University of Pennsylvania,PHASE3,"Depression Research Unit, Philadelphia, Pennsylvania, 19104-3309, United States",2010-06,2013-07
